make,model,price,title,trim,year
Acura,ILX,27490,2021 Acura ILX Sedan w/Premium Package									,w/Premium Package,2021
BMW,4 Series,34990,2020 BMW 4 Series 430i xDrive Coupe 									,430i xDrive,2020
BMW,5 Series,33990,2019 BMW 5 Series 530i xDrive Sedan 									,530i xDrive,2019
BMW,5 Series,33990,2019 BMW 5 Series 530i xDrive Sedan 									,530i xDrive,2019
BMW,5 Series,17990,2013 BMW 5 Series 550i xDrive Sedan 									,550i xDrive,2013
BMW,5 Series,33990,2019 BMW 5 Series 530i xDrive Sedan 									,530i xDrive,2019
BMW,5 Series,57990,2021 BMW 5 Series 540i xDrive Sedan 									,540i xDrive,2021
BMW,5 Series,41990,2019 BMW 5 Series 540i xDrive Sedan 									,540i xDrive,2019
BMW,4 Series,22990,2015 BMW 4 Series 435i xDrive Coupe 									,435i xDrive,2015
Audi,S6,9995,2010 Audi S6 Prestige Sedan 									,Prestige,2010
BMW,3 Series,33490,2019 BMW 3 Series 330i xDrive Sedan 									,330i xDrive,2019
Audi,SQ7,82990,2021 Audi SQ7 Premium Plus SUV 									,Premium Plus,2021
BMW,3 Series,29990,2019 BMW 3 Series 330i xDrive Sedan 									,330i xDrive,2019
BMW,3 Series,34990,2019 BMW 3 Series 330i xDrive Sedan 									,330i xDrive,2019
Audi,S4,52490,2020 Audi S4 Premium Plus Sedan 									,Premium Plus,2020
Audi,Q8,55990,2019 Audi Q8 Premium Plus SUV 									,Premium Plus,2019
Audi,S5 Sportback,45990,2019 Audi S5 Sportback Premium Plus Hatchback 									,Premium Plus,2019
Audi,Q7,36490,2018 Audi Q7 Premium SUV 									,Premium,2018
Alfa Romeo,Giulia,30490,2020 Alfa Romeo Giulia Base Sedan 									,Base,2020
Acura,TLX,37490,2021 Acura TLX FWD w/A-Spec Package									,w/A-Spec Package,2021
Acura,TLX,41990,2021 Acura TLX SH-AWD w/A-Spec Package									,w/A-Spec Package,2021
Acura,TLX,21990,2018 Acura TLX 2.4L FWD									,2.4L,2018
Acura,TLX,30990,2020 Acura TLX 3.5L SH-AWD w/Technology Pkg									,w/Technology Pkg,2020
Acura,TLX,24990,2020 Acura TLX 3.5L FWD									,3.5L V6,2020
Acura,TLX,37490,2021 Acura TLX FWD w/Technology Package									,w/Technology Package,2021
Acura,TLX,28990,2019 Acura TLX 3.5L SH-AWD w/Technology Pkg									,w/Technology Pkg,2019
Acura,RDX,34490,2020 Acura RDX SH-AWD w/Technology Pkg									,w/Technology Pkg,2020
Acura,MDX,37990,2020 Acura MDX SH-AWD 7-Passenger									,3.5L,2020
Acura,MDX,39990,2020 Acura MDX SH-AWD 7-Passenger w/Technology Pkg									,w/Technology Pkg,2020
Acura,ILX,22990,2020 Acura ILX Sedan									,Base,2020
drivetrain,engine,exterior_color,interior_color,make,model,model_trim,price,title,transmission,trim,vehicle_mileage,vehicle_type,vin,year
 FWD, Premium Unleaded I-4 2.4 L/144, Performance Red Pearl, Black,Acura,ILX,Acura ILX,27490,2021 Acura ILX Sedan w/Premium Package									, Automatic,w/Premium Package, 6078, Sedan,19UDE2F70MA011357,2021
 AWD, Intercooled Turbo Premium Unleaded I-6 3.0 L/183, Carbon Black Metallic,,BMW,5 Series,BMW 5 Series,41990,2019 BMW 5 Series 540i xDrive Sedan 									, Automatic,540i xDrive, 36083, Sedan,WBAJE7C55KWW13881,2019
 AWD, Intercooled Turbo Gas/Electric I-6 3.0 L/183, Bernina Grey Amber Effect Metallic, Black,BMW,5 Series,BMW 5 Series,57990,2021 BMW 5 Series 540i xDrive Sedan 									, Automatic,540i xDrive, 20966, Sedan,WBA73BJ04MWX00541,2021
 AWD, Turbocharged Gas V8 4.4L/268, Alpine White, Black,BMW,5 Series,BMW 5 Series,17990,2013 BMW 5 Series 550i xDrive Sedan 									, Automatic,550i xDrive, 79933, Sedan,WBAFU9C52DDY72511,2013
 AWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/122, Dark Graphite Metallic, Black,BMW,5 Series,BMW 5 Series,33990,2019 BMW 5 Series 530i xDrive Sedan 									, Automatic,530i xDrive, 50814, Sedan,WBAJA7C52KWC77508,2019
 AWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/122, Black Sapphire Metallic, Black,BMW,5 Series,BMW 5 Series,33990,2019 BMW 5 Series 530i xDrive Sedan 									, Automatic,530i xDrive, 44576, Sedan,WBAJA7C57KWW13389,2019
