dealership_address,dealership_city,dealership_name,dealership_state,dealership_zipcode,drivetrain,engine,exterior_color,interior_color,make,mileage,model,model_trim,price,scraped_date,scraped_url,title,transmission,trim,vehicle_type,vin,year
181 Somerville Avenue,Somerville,Johns Auto Sales,MA,02143,AWD,3.5L SOHC 24-valve i-VTEC V6 engine,Black,Black,Acura,117299,RDX,RDX AWD 4dr,15995,2022-09-12 19:12:55,https://johnsautosales.com/vdp/19175454/Used-2013-Acura-RDX-AWD-4dr-for-sale-in-Somerville-MA-02143,2013 Acura RDXAWD 4dr,Automatic,AWD 4dr,SUV,5J8TB4H37DL006123,2013
181 Somerville Avenue,Somerville,Johns Auto Sales,MA,02143,FWD,3.5L SOHC PGM-FI 24-valve VTEC V6 engine,Gray,Gray,Acura,216414,TL,TL 4dr Sdn 2WD,9995,2022-09-12 19:12:57,https://johnsautosales.com/vdp/18777318/Used-2011-Acura-TL-4dr-Sdn-2WD-for-sale-in-Somerville-MA-02143,2011 Acura TL4dr Sdn 2WD,Automatic,4dr Sdn 2WD,Sedan,19UUA8F22BA007472,2011
181 Somerville Avenue,Somerville,Johns Auto Sales,MA,02143,AWD,2.0L TFSI turbocharged I4 engine,Gray,Black,Audi,86266,Q5,Q5 quattro 4dr 2.0T Premium Plus,19995,2022-09-12 19:12:59,https://johnsautosales.com/vdp/19176881/Used-2013-Audi-Q5-quattro-4dr-20T-Premium-Plus-for-sale-in-Somerville-MA-02143,2013 Audi Q5quattro 4dr 2.0T Premium Plus,Automatic,quattro 4dr 2.0T Premium Plus,SUV,WA1LFAFP5DA008823,2013
181 Somerville Avenue,Somerville,Johns Auto Sales,MA,02143,AWD,3.5L SOHC V6 24V i-VTEC,Black,Tan,Acura,128336,RDX,RDX AWD 4dr Tech Pkg,,2022-09-12 19:13:00,https://johnsautosales.com/vdp/19213626/Used-2015-Acura-RDX-AWD-4dr-Tech-Pkg-for-sale-in-Somerville-MA-02143,2015 Acura RDXAWD 4dr Tech Pkg,Automatic,AWD 4dr Tech Pkg,SUV,5J8TB4H54FL009419,2015
181 Somerville Avenue,Somerville,Johns Auto Sales,MA,02143,AWD,3.0L TFSI V6 DOHC,Dark Blue,Brown,Audi,88316,Q7,Q7 3.0 TFSI Premium Plus,29995,2022-09-12 19:13:01,https://johnsautosales.com/vdp/19199649/Used-2017-Audi-Q7-30-TFSI-Premium-Plus-for-sale-in-Somerville-MA-02143,2017 Audi Q73.0 TFSI Premium Plus,Automatic,3.0 TFSI Premium Plus,SUV,WA1LAAF74HD036082,2017
181 Somerville Avenue,Somerville,Johns Auto Sales,MA,02143,AWD,2.0 TFSI 4 Cylinder 200 HP,Gray,Black,Audi,88525,Q3,Q3 quattro 4dr Premium Plus,20995,2022-09-12 19:13:02,https://johnsautosales.com/vdp/19199652/Used-2016-Audi-Q3-quattro-4dr-Premium-Plus-for-sale-in-Somerville-MA-02143,2016 Audi Q3quattro 4dr Premium Plus,Automatic,quattro 4dr Premium Plus,SUV,WA1EFCFS7GR022849,2016
181 Somerville Avenue,Somerville,Johns Auto Sales,MA,02143,AWD,"2.0-liter BMW TwinPower Turbo inline 4-cylinder, 16-valve 240-hp engine combines a twin-scroll turbocharger with variable valve control (Double-VANOS and Valvetronic) and high-precision direct injection.",Blue,Tan,BMW,130235,3 Series,3 Series 4dr Sdn 328i xDrive AWD South Africa,,2022-09-12 19:13:02,https://johnsautosales.com/vdp/19213217/Used-2013-BMW-3-Series-4dr-Sdn-328i-xDrive-AWD-South-Africa-for-sale-in-Somerville-MA-02143,2013 BMW 3 Series4dr Sdn 328i xDrive AWD South Africa,Automatic,4dr Sdn 328i xDrive AWD South Africa,Sedan,WBA3B3G50DNR79583,2013
181 Somerville Avenue,Somerville,Johns Auto Sales,MA,02143,AWD,"3.0L DOHC 24-valve I6 engine-inc: double-VANOS steplessly variable valve timing, Valvetronic",Blue,Tan,BMW,177665,X3,X3 AWD 4dr 3.0si,7995,2022-09-12 19:13:03,https://johnsautosales.com/vdp/19189497/Used-2007-BMW-X3-AWD-4dr-30si-for-sale-in-Somerville-MA-02143,2007 BMW X3AWD 4dr 3.0si,Automatic,AWD 4dr 3.0si,SUV,WBXPC93407WF05011,2007
181 Somerville Avenue,Somerville,Johns Auto Sales,MA,02143,RWD,Select,White,Gray,Blue Bird,75000,School/Transit Bus,School/Transit Bus BUS,24995,2022-09-12 19:13:04,https://johnsautosales.com/vdp/19049317/Used-2000-Blue-Bird-SchoolTransit-Bus-BUS-for-sale-in-Somerville-MA-02143,2000 Blue Bird School/Transit BusBUS,Automatic,BUS,Bus,1BAGNBJA0YF096928,2000
181 Somerville Avenue,Somerville,Johns Auto Sales,MA,02143,AWD,3.0L TFSI V6 DOHC -inc: direct-injection and continuous camshaft adjustment,Gray,Black,Audi,126982,Q7,Q7 quattro 4dr 3.0T Premium Plus,,2022-09-12 19:13:04,https://johnsautosales.com/vdp/19213684/Used-2014-Audi-Q7-quattro-4dr-30T-Premium-Plus-for-sale-in-Somerville-MA-02143,2014 Audi Q7quattro 4dr 3.0T Premium Plus,Automatic,quattro 4dr 3.0T Premium Plus,SUV,WA1LGAFE0ED011222,2014
