drivetrain,engine,exterior_color,interior_color,make,mileage,model,model_trim,price,title,transmission,trim,vehicle_mileage,vehicle_type,vin,year
FWD,2.5L I4 16V PDI DOHC,Blue,,Toyota,3066,Camry,Toyota Camry,28975.0,2022 Toyota Camry LE,Automatic,LE,,4dr Car,4T1C11AKXNU040596,2022
FWD,2.0L I4 16V PDI DOHC,Silver,,Toyota,8591,Corolla,Toyota Corolla,26936.0,2022 Toyota Corolla SE,Variable,SE,,4dr Car,JTDS4MCE4NJ081193,2022
AWD,2.5L I4 16V GDI DOHC Turbo,Deep Crystal Blue Mica,Sand,Mazda,10855,Mazda CX-9,Mazda Mazda CX-9,42654.0,2022 Mazda CX-9 Grand Touring,Automatic,Grand Touring,,Sport Utility,JM3TCBDY6N0608054,2022
4WD,8 Cyl - 4.6 L,Gray,,Lexus,8826,GX,Lexus GX,60000.0,2022 Lexus GX 460 Premium,Automatic,GX 460 Premium,,Sport Utility,JTJAM7BX8N5314899,2022
AWD,3.5L V6 24V PDI DOHC,Silver,,Toyota,23859,Highlander,Toyota Highlander,47000.0,2021 Toyota Highlander Platinum,Automatic,Platinum,,Sport Utility,5TDFZRBH8MS071148,2021
4WD,2.3L I4 16V GDI DOHC Turbo,Blue,Ebony With Light Slate Uppers,Ford,16826,Explorer,Ford Explorer,38000.0,2021 Ford Explorer XLT,Automatic,XLT,,Sport Utility,1FMSK8DH0MGA32179,2021
4WD,2.7L V6 24V GDI DOHC Turbo,Orange,,Ford,493,Bronco,Ford Bronco,65000.0,2021 Ford Bronco Badlands,Automatic,Badlands,,Convertible,1FMEE5DP0MLA72974,2021
4WD,2.7L V6 24V GDI DOHC Turbo,Gray,,Ford,724,Bronco,Ford Bronco,59374.0,2021 Ford Bronco Black Diamond,Automatic,Black Diamond,,Convertible,1FMEE5DP2MLA74676,2021
4WD,2.7L V6 24V GDI DOHC Turbo,Blue,,Ford,591,Bronco,Ford Bronco,60914.0,2021 Ford Bronco outer banks,Automatic,outer banks,,Convertible,1FMEE5DP3MLA73696,2021
4WD,2.7L V6 24V GDI DOHC Turbo,Blue,,Ford,1646,Bronco,Ford Bronco,64725.0,2021 Ford Bronco Badlands,Automatic,Badlands,,Convertible,1FMEE5DPXMLA73985,2021
AWD,2.5L I4 16V GDI DOHC,Machine Gray Metallic,Silk Beige,Mazda,4596,Mazda CX-5,Mazda Mazda CX-5,30000.0,2021 Mazda CX-5 Touring,Automatic,Touring,,Sport Utility,JM3KFBCM3M0481313,2021
4WD,5.7L V8 32V MPFI DOHC,Gray,Graphite,Toyota,30077,Tundra 4WD,Toyota Tundra 4WD,44000.0,2021 Toyota Tundra 4WD SR5,Automatic,SR5,,Crew Cab Pickup,5TFDY5F1XMX971589,2021
4WD,2.3L I4 16V GDI DOHC Turbo,Gray,Gray,Ford,7394,Explorer,Ford Explorer,39927.0,2021 Ford Explorer XLT,Automatic,XLT,,Sport Utility,1FMSK8DH7MGA90323,2021
4WD,6.7L V8 32V DDI OHV Turbo Diesel,White,Black,Ford,32584,Super Duty F-250 SRW,Ford Super Duty F-250 SRW,77121.0,2021 Ford Super Duty F-250 SRW LARIAT,Automatic,LARIAT,,Crew Cab Pickup,1FT8W2BT7MEC83865,2021
AWD,3.8L V6 24V GDI DOHC,Becketts Black,Black,Hyundai,25328,Palisade,Hyundai Palisade,47000.0,2021 Hyundai Palisade Calligraphy,Automatic,Calligraphy,,Sport Utility,KM8R7DHE9MU316999,2021
4WD,3.6L V6 24V MPFI DOHC,Bright White Clearcoat,Black,Jeep,21749,Grand Cherokee,Jeep Grand Cherokee,39833.0,2021 Jeep Grand Cherokee Limited,Automatic,Limited,,Sport Utility,1C4RJFBG2MC501039,2021
AWD,2.5L I4 16V PDI DOHC,Silver,,Toyota,16797,RAV4,Toyota RAV4,32946.0,2021 Toyota RAV4 XLE,Automatic,XLE,,Sport Utility,2T3P1RFVXMC151241,2021
FWD,2.5L I4 16V PDI DOHC,Silver,,Toyota,11793,Camry,Toyota Camry,29139.0,2021 Toyota Camry LE,Automatic,LE,,4dr Car,4T1C11AK2MU536250,2021
4WD,3.5L V6 24V PDI DOHC,Gray,,Toyota,12452,Tacoma 4WD,Toyota Tacoma 4WD,37000.0,2021 Toyota Tacoma 4WD SR5,Automatic,SR5,,Extended Cab Pickup,3TYSZ5AN4MT015520,2021
4WD,2.3L I4 16V GDI DOHC Turbo,Blue,Ebony,Ford,21177,Ranger,Ford Ranger,37303.0,2021 Ford Ranger XL,Automatic,XL,,Crew Cab Pickup,1FTER4FH4MLD48842,2021
FWD,2.0L I4 16V PDI DOHC,Silver,,Toyota,9478,Corolla,Toyota Corolla,25206.0,2021 Toyota Corolla SE,Variable,SE,,4dr Car,5YFS4MCE6MP075003,2021
4WD,3.5L V6 24V PDI DOHC,Cement,,Toyota,28295,Tacoma 4WD,Toyota Tacoma 4WD,38563.0,2021 Toyota Tacoma 4WD SR5,Automatic,SR5,,Crew Cab Pickup,3TMCZ5AN0MM416370,2021
AWD,2.5L I4 16V PDI DOHC Turbo,Quartz White,Black,Hyundai,21212,Santa Fe,Hyundai Santa Fe,40788.0,2021 Hyundai Santa Fe Calligraphy,Automatic,Calligraphy,,Sport Utility,5NMS5DAL5MH363264,2021
AWD,2.5L I4 16V PDI DOHC,Gray,,Toyota,40547,RAV4,Toyota RAV4,32115.0,2021 Toyota RAV4 XLE,Automatic,XLE,,Sport Utility,2T3P1RFVXMC156195,2021
4WD,5.3L V8 16V GDI OHV,Summit White,Jet Black with Kalahari accents,GMC,20843,Sierra 1500,GMC Sierra 1500,57525.0,2021 GMC Sierra 1500 AT4,Automatic,AT4,,Pickup Crew Cab,3GTP9EED2MG330088,2021
FWD,1.8L I4 16V MPFI DOHC Hybrid,Silver,,Toyota,33205,Prius Prime,Toyota Prius Prime,40200.0,2021 Toyota Prius Prime Limited,Variable,Limited,,Hatchback,JTDKAMFP0M3169926,2021
AWD,3.5L V6 24V PDI DOHC,Red,,Toyota,16558,Highlander,Toyota Highlander,46354.0,2021 Toyota Highlander XSE,Automatic,XSE,,Sport Utility,5TDLZRBH2MS131363,2021
4WD,4.3L V6 12V GDI OHV,Black,Jet Black,Chevrolet,29302,Silverado 1500,Chevrolet Silverado 1500,45000.0,2021 Chevrolet Silverado 1500 Custom Trail Boss,Automatic,Custom Trail Boss,,Pickup Crew Cab,1GCPYCEH2MZ352358,2021
4WD,1.5L I3 12V PDI DOHC Turbo,White,Ebony/Brown,Ford,15934,Bronco Sport,Ford Bronco Sport,37610.0,2021 Ford Bronco Sport Outer Banks,Automatic,Outer Banks,,Sport Utility,3FMCR9C6XMRB12278,2021
4WD,6 Cyl - 3.5 L,Silver,Black,Toyota,19516,Tacoma 4WD,Toyota Tacoma 4WD,39139.0,2021 Toyota Tacoma 4WD SR5,Automatic,SR5,,Crew Cab Pickup,3TMDZ5BNXMM102518,2021
